Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Brett Favre\FavrBr00,GNB,30,QB,16,16,8-8-0,341,595,57.3,4091,22,3.7,23,3.9,74,6.9,5.9,12.0,255.7,74.7,35,223,6.14,5.20,5.6,3,3
2,Steve Beuerlein*\BeueSt00,CAR,34,QB,16,16,8-8-0,343,571,60.1,4436,36,6.3,15,2.6,88,7.8,7.8,12.9,277.3,94.6,50,280,6.69,6.76,8.1,1,1
3,Drew Bledsoe\BledDr00,NWE,27,QB,16,16,8-8-0,305,539,56.6,3985,19,3.5,21,3.9,68,7.4,6.3,13.1,249.1,75.6,55,342,6.13,5.18,9.3,2,2
4,Peyton Manning*\MannPe00,IND,23,QB,16,16,13-3-0,331,533,62.1,4135,26,4.9,15,2.8,80,7.8,7.5,12.5,258.4,90.7,14,116,7.35,7.06,2.6,6,7
5,Brad Johnson*\JohnBr00,WAS,31,QB,16,16,10-6-0,316,519,60.9,4005,24,4.6,13,2.5,65,7.7,7.5,12.7,250.3,90.0,29,177,6.99,6.79,5.3,3,4
6,Rich Gannon*\GannRi00,OAK,34,QB,16,16,8-8-0,304,515,59.0,3840,24,4.7,14,2.7,50,7.5,7.2,12.6,240.0,86.5,49,241,6.38,6.12,8.7,3,3
7,Elvis Grbac\GrbaEl00,KAN,29,QB,16,16,9-7-0,294,499,58.9,3389,22,4.4,15,3.0,86,6.8,6.3,11.5,211.8,81.7,26,170,6.13,5.68,5.0,1,2
8,Kurt Warner*+\WarnKu00,STL,28,QB,16,16,13-3-0,325,499,65.1,4353,41,8.2,13,2.6,75,8.7,9.2,13.4,272.1,109.2,29,201,7.86,8.31,5.5,,
9,Jon Kitna\KitnJo00,SEA,27,QB,15,15,8-7-0,270,495,54.5,3346,23,4.6,16,3.2,51,6.8,6.2,12.4,223.1,77.7,32,198,5.97,5.48,6.1,2,2
10,Doug Flutie\FlutDo00,BUF,37,QB,15,15,10-5-0,264,478,55.2,3171,19,4.0,16,3.3,54,6.6,5.9,12.0,211.4,75.1,26,176,5.94,5.27,5.2,2,2
11,Brian Griese\GrieBr00,DEN,24,QB,14,13,4-9-0,261,452,57.7,3032,14,3.1,14,3.1,88,6.7,5.9,11.6,216.6,75.6,27,176,5.96,5.23,5.6,1,2
12,Troy Aikman\AikmTr00,DAL,33,QB,14,14,7-7-0,263,442,59.5,2964,17,3.8,12,2.7,90,6.7,6.3,11.3,211.7,81.1,19,130,6.15,5.71,4.1,1,1
13,Mark Brunell*\BrunMa00,JAX,29,QB,15,15,13-2-0,259,441,58.7,3060,14,3.2,9,2.0,62,6.9,6.7,11.8,204.0,82.0,29,174,6.14,5.87,6.2,2,3
14,Jim Harbaugh\HarbJi00,SDG,36,QB,14,12,6-6-0,249,434,57.4,2761,10,2.3,14,3.2,80,6.4,5.4,11.1,197.2,70.6,37,208,5.42,4.51,7.9,2,2
15,Tim Couch\CoucTi00,CLE,22,QB,15,14,2-12-0,223,399,55.9,2447,15,3.8,13,3.3,78,6.1,5.4,11.0,163.1,73.2,56,359,4.59,3.96,12.3,2,2
16,Jeff Blake\BlakJe00,CIN,29,QB,14,12,3-9-0,215,389,55.3,2670,16,4.1,12,3.1,76,6.9,6.3,12.4,190.7,77.6,30,168,5.97,5.45,7.2,,
17,Jake Plummer\PlumJa00,ARI,25,QB,12,11,3-8-0,201,381,52.8,2111,9,2.4,24,6.3,63,5.5,3.2,10.5,175.9,50.8,27,152,4.80,2.60,6.6,2,2
18,Jeff Garcia\GarcJe00,SFO,29,QB,13,10,2-8-0,225,375,60.0,2544,11,2.9,11,2.9,62,6.8,6.1,11.3,195.7,77.9,15,104,6.26,5.55,3.8,,
19,Dan Marino\MariDa00,MIA,38,QB,11,11,5-6-0,204,369,55.3,2448,12,3.3,17,4.6,62,6.6,5.2,12.0,222.5,67.4,9,66,6.30,4.91,2.4,2,2
20,Kerry Collins\CollKe00,NYG,27,qb,10,7,2-5-0,190,331,57.4,2318,8,2.4,11,3.3,80,7.0,6.0,12.2,231.8,73.3,16,112,6.36,5.39,4.6,2,2
21,Steve McNair\McNaSt00,TEN,26,QB,11,11,9-2-0,187,331,56.5,2179,12,3.6,8,2.4,65,6.6,6.2,11.7,198.1,78.6,16,74,6.07,5.72,4.6,1,2
22,Jeff George\GeorJe00,MIN,32,QB,12,10,8-2-0,191,329,58.1,2816,23,7.0,12,3.6,80,8.6,8.3,14.7,234.7,94.2,28,228,7.25,7.03,7.8,2,4
23,Tony Banks\BankTo00,BAL,26,QB,12,10,6-4-0,169,320,52.8,2136,17,5.3,8,2.5,76,6.7,6.6,12.6,178.0,81.2,33,190,5.51,5.46,9.3,0,1
24,Chris Chandler\ChanCh00,ATL,34,QB,12,12,4-8-0,174,307,56.7,2339,16,5.2,11,3.6,60,7.6,7.0,13.4,194.9,83.5,32,230,6.22,5.71,9.4,,
25,Gus Frerotte\FrerGu00,DET,28,qb,9,6,2-4-0,175,288,60.8,2117,9,3.1,7,2.4,77,7.4,6.9,12.1,235.2,83.6,28,202,6.06,5.63,8.9,2,2
26,Shane Matthews\MattSh00,CHI,29,qb,8,7,3-4-0,167,275,60.7,1645,10,3.6,6,2.2,56,6.0,5.7,9.9,205.6,80.6,13,79,5.44,5.19,4.5,1,1
27,Kordell Stewart\StewKo00,PIT,27,fl/QB,16,12,5-6-0,160,275,58.2,1464,6,2.2,10,3.6,42,5.3,4.1,9.2,91.5,64.9,22,131,4.49,3.38,7.4,0,1
28,Ray Lucas\LucaRa00,NYJ,27,QB,9,9,6-3-0,161,272,59.2,1678,14,5.1,6,2.2,56,6.2,6.2,10.4,186.4,85.1,11,69,5.69,5.72,3.9,3,3
29,Kent Graham\GrahKe00,NYG,31,QB,9,9,5-4-0,160,271,59.0,1697,9,3.3,9,3.3,56,6.3,5.4,10.6,188.6,74.6,26,184,5.09,4.34,8.8,1,1
